Training loss: 6.38e-01 lr: 1.36e-05:  78% 151/194 [01:54<00:32,  1.32it/s]
Training loss: 6.39e-01 lr: 1.33e-05:  78% 152/194 [01:55<00:31,  1.32it/s]
Training loss: 6.33e-01 lr: 1.30e-05:  79% 153/194 [01:56<00:31,  1.31it/s]
Training loss: 6.26e-01 lr: 1.26e-05:  79% 154/194 [01:57<00:30,  1.31it/s]
Training loss: 6.49e-01 lr: 1.23e-05:  80% 155/194 [01:57<00:29,  1.31it/s]
Training loss: 6.78e-01 lr: 1.20e-05:  80% 156/194 [01:58<00:28,  1.31it/s]
Training loss: 6.61e-01 lr: 1.17e-05:  81% 157/194 [01:59<00:28,  1.32it/s]
Training loss: 6.57e-01 lr: 1.13e-05:  81% 158/194 [02:00<00:27,  1.31it/s]
Training loss: 6.96e-01 lr: 1.10e-05:  82% 159/194 [02:00<00:26,  1.31it/s]
Training loss: 7.13e-01 lr: 1.07e-05:  82% 160/194 [02:01<00:25,  1.31it/s]
Training loss: 6.86e-01 lr: 1.04e-05:  83% 161/194 [02:02<00:25,  1.31it/s]
Training loss: 7.07e-01 lr: 1.00e-05:  84% 162/194 [02:03<00:24,  1.31it/s]
Training loss: 6.96e-01 lr: 9.72e-06:  84% 163/194 [02:03<00:23,  1.30it/s]
Training loss: 6.45e-01 lr: 9.39e-06:  85% 164/194 [02:04<00:23,  1.30it/s]
Training loss: 6.37e-01 lr: 9.07e-06:  85% 165/194 [02:05<00:22,  1.30it/s]
Training loss: 6.58e-01 lr: 8.74e-06:  86% 166/194 [02:06<00:21,  1.29it/s]
Training loss: 6.27e-01 lr: 8.42e-06:  86% 167/194 [02:06<00:20,  1.30it/s]
Training loss: 5.99e-01 lr: 8.10e-06:  87% 168/194 [02:07<00:20,  1.29it/s]
Training loss: 6.32e-01 lr: 7.77e-06:  87% 169/194 [02:08<00:19,  1.30it/s]
Training loss: 6.20e-01 lr: 7.45e-06:  88% 170/194 [02:09<00:18,  1.30it/s]
Training loss: 6.26e-01 lr: 7.12e-06:  88% 171/194 [02:10<00:17,  1.29it/s]
Training loss: 6.46e-01 lr: 6.80e-06:  89% 172/194 [02:10<00:16,  1.30it/s]
Training loss: 6.59e-01 lr: 6.48e-06:  89% 173/194 [02:11<00:16,  1.30it/s]
Training loss: 6.75e-01 lr: 6.15e-06:  90% 174/194 [02:12<00:15,  1.30it/s]
Training loss: 6.41e-01 lr: 5.83e-06:  90% 175/194 [02:13<00:14,  1.30it/s]
Training loss: 6.34e-01 lr: 5.51e-06:  91% 176/194 [02:13<00:13,  1.30it/s]
Training loss: 6.11e-01 lr: 5.18e-06:  91% 177/194 [02:14<00:13,  1.29it/s]
Training loss: 6.29e-01 lr: 4.86e-06:  92% 178/194 [02:15<00:12,  1.29it/s]
Training loss: 6.19e-01 lr: 4.53e-06:  92% 179/194 [02:16<00:11,  1.29it/s]
Training loss: 6.52e-01 lr: 4.21e-06:  93% 180/194 [02:17<00:10,  1.29it/s]
Training loss: 6.77e-01 lr: 3.89e-06:  93% 181/194 [02:17<00:10,  1.29it/s]
Training loss: 6.49e-01 lr: 3.56e-06:  94% 182/194 [02:18<00:09,  1.28it/s]
Training loss: 6.48e-01 lr: 3.24e-06:  94% 183/194 [02:19<00:08,  1.29it/s]
Training loss: 6.59e-01 lr: 2.91e-06:  95% 184/194 [02:20<00:07,  1.29it/s]
Training loss: 6.40e-01 lr: 2.59e-06:  95% 185/194 [02:20<00:07,  1.29it/s]
Training loss: 6.57e-01 lr: 2.27e-06:  96% 186/194 [02:21<00:06,  1.29it/s]
Training loss: 6.82e-01 lr: 1.94e-06:  96% 187/194 [02:22<00:05,  1.29it/s]
Training loss: 6.81e-01 lr: 1.62e-06:  97% 188/194 [02:23<00:04,  1.29it/s]
Training loss: 6.93e-01 lr: 1.30e-06:  97% 189/194 [02:24<00:03,  1.29it/s]
Training loss: 6.62e-01 lr: 9.72e-07:  98% 190/194 [02:24<00:03,  1.28it/s]
Training loss: 6.24e-01 lr: 6.48e-07:  98% 191/194 [02:25<00:02,  1.28it/s]
Training loss: 6.21e-01 lr: 3.24e-07:  99% 192/194 [02:26<00:01,  1.28it/s]
Training loss: 6.20e-01 lr: 0.00e+00:  99% 193/194 [02:27<00:00,  1.28it/s]
Training loss: 6.43e-01 lr: -3.24e-07: 100% 194/194 [02:27<00:00,  1.31it/s]
